====================================================================================================
(COLOR, LINK) PAIR TIMELINE
====================================================================================================
Range    Start        End          Duration     Color                Link                     
----------------------------------------------------------------------------------------------------
1        @125         @988         863          C22                  W                        
2        @1245        @3406        2161         C23                  W                        
3        @3444        @4255        811          C22                  W                        
4        @4512        @6804        2292         C23                  W                        
5        @6842        @7071        229          C22                  W                        
6        @7130        @7325        195          C0 (a even)          link R (sending)         
7        @7351        @7838        487          C2 (b even)          link R (sending)         
8        @7959        @8156        197          C1 (a odd)           E                        
9        @8181        @19016       10835        C3 (b odd)           S                        
10       @19409       @19571       162          C0 (a even)          E                        
11       @19571       @19571       0            C2 (b even)          S                        
12       @19572       @19572       0            C0 (a even)          E                        
13       @19572       @19572       0            C2 (b even)          S                        
14       @19574       @19576       2            C0 (a even)          E                        
15       @19576       @19576       0            C2 (b even)          S                        
16       @19577       @19577       0            C0 (a even)          E                        
17       @19577       @19577       0            C2 (b even)          S                        
18       @19579       @19581       2            C0 (a even)          E                        
19       @19581       @19581       0            C2 (b even)          S                        
20       @19582       @19582       0            C0 (a even)          E                        
21       @19582       @19582       0            C2 (b even)          S                        
22       @19584       @19590       6            C0 (a even)          E                        
23       @19590       @19590       0            C2 (b even)          S                        
24       @19591       @19591       0            C0 (a even)          E                        
25       @19591       @19591       0            C2 (b even)          S                        
26       @19593       @19613       20           C0 (a even)          E                        
27       @19781       @20264       483          C2 (b even)          S                        
28       @31036       @31196       160          C1 (a odd)           E                        
29       @31196       @31196       0            C3 (b odd)           S                        
30       @31197       @31197       0            C1 (a odd)           E                        
31       @31197       @31197       0            C3 (b odd)           S                        
32       @31199       @31203       4            C1 (a odd)           E                        
33       @31204       @31204       0            C3 (b odd)           S                        
34       @31205       @31206       1            C1 (a odd)           E                        
35       @31206       @31208       2            C3 (b odd)           S                        
36       @31209       @31237       28           C1 (a odd)           E                        
37       @31404       @31893       489          C3 (b odd)           S                        
38       @53618       @53719       101          C22                  W                        
39       @53926       @64117       10191        C21                  link R (sending)         
