====================================================================================================
(COLOR, LINK) PAIR TIMELINE
====================================================================================================
Range    Start        End          Duration     Color                Link                     
----------------------------------------------------------------------------------------------------
1        @126         @989         863          C22                  W                        
2        @1246        @3407        2161         C23                  W                        
3        @3445        @4256        811          C22                  W                        
4        @4513        @6805        2292         C23                  W                        
5        @6843        @7033        190          C22                  W                        
6        @7138        @7333        195          C0 (a even)          W                        
7        @7365        @7863        498          C2 (b even)          link R (sending)         
8        @7989        @8185        196          C1 (a odd)           link R (sending)         
9        @8211        @19022       10811        C3 (b odd)           S                        
10       @19439       @19643       204          C0 (a even)          E                        
11       @19820       @20324       504          C2 (b even)          S                        
12       @31066       @31231       165          C1 (a odd)           E                        
13       @31231       @31231       0            C3 (b odd)           S                        
14       @31232       @31232       0            C1 (a odd)           E                        
15       @31232       @31232       0            C3 (b odd)           S                        
16       @31234       @31236       2            C1 (a odd)           E                        
17       @31236       @31236       0            C3 (b odd)           S                        
18       @31237       @31237       0            C1 (a odd)           E                        
19       @31237       @31237       0            C3 (b odd)           S                        
20       @31239       @31267       28           C1 (a odd)           E                        
21       @31434       @31928       494          C3 (b odd)           S                        
22       @53649       @53767       118          C22                  W                        
23       @53958       @53985       27           C21                  W                        
24       @53986       @53987       1            C21                  link R (sending)         
25       @54010       @54037       27           C21                  W                        
26       @54038       @54039       1            C21                  link R (sending)         
27       @54062       @54089       27           C21                  W                        
28       @54090       @54091       1            C21                  link R (sending)         
29       @54114       @54141       27           C21                  W                        
30       @54142       @54143       1            C21                  link R (sending)         
31       @54166       @54193       27           C21                  W                        
32       @54194       @54195       1            C21                  link R (sending)         
33       @54218       @54245       27           C21                  W                        
34       @54246       @54247       1            C21                  link R (sending)         
35       @54270       @54297       27           C21                  W                        
36       @54298       @54299       1            C21                  link R (sending)         
37       @54322       @54349       27           C21                  W                        
38       @54350       @54351       1            C21                  link R (sending)         
39       @54374       @54401       27           C21                  W                        
40       @54402       @54403       1            C21                  link R (sending)         
41       @54426       @54453       27           C21                  W                        
