====================================================================================================
TASK EXECUTION TIMELINE
====================================================================================================
Range    Start        End          Duration     Task                          
----------------------------------------------------------------------------------------------------
1        @127         @1289        1162         T22 (fabric async)            
2        @3408        @3424        16           T29                           
3        @3425        @3425        0            T27                           
4        @3426        @3426        0            T29                           
5        @3427        @3427        0            T27                           
6        @3446        @4556        1110         T22 (fabric async)            
7        @6806        @6822        16           T29                           
8        @6823        @6823        0            T27                           
9        @6824        @6824        0            T29                           
10       @6825        @6825        0            T27                           
11       @6844        @7353        509          T22 (fabric async)            
12       @7835        @53618       45783        T11 (main/control)            
13       @53618       @53897       279          T22 (fabric async)            
14       @53898       @53929       31           T21                           
15       @53929       @53929       0            T30                           
16       @53930       @53930       0            T21                           
17       @53930       @53948       18           T30                           
18       @53950       @53981       31           T21                           
19       @53981       @53981       0            T30                           
20       @53982       @53982       0            T21                           
21       @53982       @54000       18           T30                           
22       @54002       @54033       31           T21                           
23       @54033       @54033       0            T30                           
24       @54034       @54034       0            T21                           
25       @54034       @54052       18           T30                           
26       @54054       @54085       31           T21                           
27       @54085       @54085       0            T30                           
28       @54086       @54086       0            T21                           
29       @54086       @54104       18           T30                           
30       @54106       @54137       31           T21                           
31       @54137       @54137       0            T30                           
32       @54138       @54138       0            T21                           
33       @54138       @54156       18           T30                           
34       @54158       @54189       31           T21                           
35       @54189       @54189       0            T30                           
36       @54190       @54190       0            T21                           
37       @54190       @54208       18           T30                           
38       @54210       @54241       31           T21                           
39       @54241       @54241       0            T30                           
40       @54242       @54242       0            T21                           
41       @54242       @54260       18           T30                           
42       @54262       @54293       31           T21                           
43       @54293       @54293       0            T30                           
44       @54294       @54294       0            T21                           
45       @54294       @54312       18           T30                           
46       @54314       @54345       31           T21                           
47       @54345       @54345       0            T30                           
48       @54346       @54346       0            T21                           
49       @54346       @54364       18           T30                           
50       @54366       @54397       31           T21                           
51       @54397       @54397       0            T30                           
52       @54398       @54398       0            T21                           
53       @54398       @54416       18           T30                           
54       @54418       @54449       31           T21                           
55       @54449       @54449       0            T30                           
56       @54450       @54450       0            T21                           
57       @54450       @54468       18           T30                           
58       @54470       @54501       31           T21                           
59       @54501       @54501       0            T30                           
60       @54502       @54502       0            T21                           
61       @54502       @54520       18           T30                           
62       @54522       @54553       31           T21                           
63       @54553       @54553       0            T30                           
64       @54554       @54554       0            T21                           
65       @54554       @54572       18           T30                           
66       @54574       @54605       31           T21                           
67       @54605       @54605       0            T30                           
